fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,texto_matricula
184,car,0.4867628514766693,4,1428,324,1504,378,N/A,N/A
184,car,0.6344901323318481,5,1356,321,1402,356,N/A,N/A
185,person,0.7591776847839355,3,366,263,430,440,N/A,N/A
185,car,0.4863205850124359,4,1428,324,1504,378,N/A,N/A
185,car,0.6229211688041687,5,1357,321,1401,356,N/A,N/A
186,person,0.7332117557525635,3,373,261,434,439,N/A,N/A
186,car,0.4857870638370514,4,1428,324,1505,378,N/A,N/A
186,car,0.6317861080169678,5,1360,321,1401,356,N/A,N/A
187,person,0.7444750666618347,3,379,258,439,440,N/A,N/A
187,car,0.5093505382537842,4,1429,324,1505,378,N/A,N/A
187,car,0.6290042996406555,5,1362,321,1401,356,N/A,N/A
188,person,0.7488254308700562,3,382,258,444,440,N/A,N/A
188,car,0.5066534280776978,4,1429,324,1504,378,N/A,N/A
188,car,0.6176470518112183,5,1363,322,1401,356,N/A,N/A
189,person,0.7794724702835083,3,386,257,448,438,N/A,N/A
189,car,0.5067347884178162,4,1429,324,1504,378,N/A,N/A
189,car,0.6290600895881653,5,1362,322,1400,356,N/A,N/A
190,person,0.7500607967376709,3,392,257,452,437,N/A,N/A
190,car,0.5212045311927795,4,1429,324,1505,378,N/A,N/A
190,car,0.6292116641998291,5,1361,322,1401,356,N/A,N/A
191,person,0.7241997718811035,3,395,263,458,437,N/A,N/A
191,car,0.5150288343429565,4,1429,324,1505,378,N/A,N/A
191,car,0.6334800124168396,5,1363,322,1400,356,N/A,N/A
192,person,0.7373228073120117,3,397,269,465,438,N/A,N/A
192,car,0.5183652639389038,4,1429,324,1506,379,N/A,N/A
192,car,0.624484658241272,5,1364,322,1400,356,N/A,N/A
193,person,0.74422687292099,3,399,271,468,438,N/A,N/A
193,car,0.5289106965065002,4,1429,323,1508,379,N/A,N/A
193,car,0.6133477687835693,5,1362,322,1399,356,N/A,N/A
194,person,0.7686800360679626,3,400,275,472,438,N/A,N/A
194,car,0.5309821963310242,4,1429,323,1509,379,N/A,N/A
194,car,0.6108930706977844,5,1361,322,1398,356,N/A,N/A
195,person,0.7175471186637878,3,400,269,474,438,N/A,N/A
195,car,0.5400145649909973,4,1429,323,1509,380,N/A,N/A
195,car,0.6086642146110535,5,1362,322,1398,356,N/A,N/A
196,person,0.7222501635551453,3,401,267,476,438,N/A,N/A
196,car,0.544776976108551,4,1429,323,1509,380,N/A,N/A
196,car,0.6071871519088745,5,1363,322,1398,356,N/A,N/A
196,car,0.606235921382904,6,1340,321,1380,353,N/A,N/A
197,person,0.7383910417556763,3,404,270,476,437,N/A,N/A
197,car,0.5381150841712952,4,1429,323,1509,380,N/A,N/A
197,car,0.5774392485618591,5,1362,323,1397,356,N/A,N/A
197,car,0.565544068813324,6,1342,323,1380,352,N/A,N/A
198,person,0.7318838238716125,3,409,270,478,436,N/A,N/A
198,car,0.5390579104423523,4,1429,323,1509,380,N/A,N/A
198,car,0.5767703652381897,5,1363,323,1397,356,N/A,N/A
198,car,0.5796457529067993,6,1342,323,1378,352,N/A,N/A
199,person,0.7492058873176575,3,414,269,478,435,N/A,N/A
199,car,0.5496100187301636,4,1429,323,1510,380,N/A,N/A
199,car,0.5647445321083069,5,1363,323,1397,356,N/A,N/A
199,car,0.5596262216567993,6,1344,323,1381,352,N/A,N/A
200,person,0.7453961968421936,3,419,270,478,432,N/A,N/A
200,car,0.551662266254425,4,1429,323,1510,380,N/A,N/A
200,car,0.5759886503219604,5,1361,323,1397,356,N/A,N/A
200,car,0.5472497940063477,6,1344,323,1383,352,N/A,N/A
